survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,alive,alone,Age_Bin,Predicted_Fare,Fare_Group,Age_Normalized,Age_Standardized,Age_Category,Class_1,Class_2,Class_3
0,2,1,21.0,2,0,73.5,2,1,1,1,0,0,"(20.315, 40.21]",29.428765990556244,High,0.2586076903744659,-0.6426194114175834,Young Adult,False,True,False
0,2,1,32.5,1,0,30.0708,0,1,1,1,0,0,"(20.315, 40.21]",29.70447207695359,High,0.40311636089469716,0.1966809136262204,Young Adult,False,True,False
1,2,0,32.5,0,0,13.0,2,1,2,0,1,1,"(20.315, 40.21]",29.70447207695359,Medium,0.40311636089469716,0.1966809136262204,Young Adult,False,True,False
0,1,1,54.0,0,1,77.2875,2,0,1,1,0,0,"(40.21, 60.105]",30.219922586305145,High,0.6732847449107816,1.7658076082733318,Adult,True,False,False
1,3,1,12.0,1,0,11.2417,0,2,0,0,1,0,"(0.34, 20.315]",29.212996009897452,Medium,0.14551394822819805,-1.2994631440605602,Minor,False,False,True
0,3,1,29.69869565217391,0,0,7.75,1,2,1,1,0,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
1,3,1,24.0,0,0,7.1417,2,2,1,1,1,1,"(20.315, 40.21]",29.500689317442507,Low,0.2963056044232219,-0.4236715005365911,Young Adult,False,False,True
1,3,0,29.69869565217391,1,1,22.3583,0,2,2,0,1,0,"(20.315, 40.21]",29.63731236751472,Medium,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,3,1,45.0,0,0,6.975,2,2,1,1,0,1,"(40.21, 60.105]",30.004152605646354,Low,0.5601910027645137,1.108963875630355,Adult,False,False,True
0,3,1,33.0,0,0,7.8958,0,2,1,1,0,1,"(20.315, 40.21]",29.7164592981013,Low,0.4093993465694898,0.23317223210638577,Young Adult,False,False,True
0,3,1,20.0,0,0,7.05,2,2,1,1,0,1,"(0.34, 20.315]",29.40479154826082,Low,0.24604171902488062,-0.7156020483779142,Young Adult,False,False,True
0,3,0,47.0,1,0,14.5,2,2,2,0,0,0,"(40.21, 60.105]",30.052101490237195,Medium,0.5853229454636844,1.2549291495510164,Adult,False,False,True
0,2,1,25.0,0,0,13.0,2,1,1,1,0,1,"(20.315, 40.21]",29.52466375973793,Medium,0.3088715757728072,-0.35068886357626033,Young Adult,False,True,False
0,2,1,23.0,0,0,15.0458,0,1,1,1,0,1,"(20.315, 40.21]",29.476714875147085,Medium,0.2837396330736366,-0.4966541374969219,Young Adult,False,True,False
1,1,0,19.0,0,2,26.2833,2,0,2,0,1,0,"(0.34, 20.315]",29.380817105965402,High,0.23347574767529528,-0.7885846853382449,Young Adult,True,False,False
0,1,1,37.0,1,0,53.1,2,0,1,1,0,0,"(20.315, 40.21]",29.812357067282985,High,0.4596632319678311,0.5251027799477088,Adult,True,False,False
0,3,1,16.0,0,0,9.2167,2,2,1,1,0,1,"(0.34, 20.315]",29.30889377907914,Medium,0.19577783362653933,-1.0075325962192372,Minor,False,False,True
0,1,1,24.0,0,0,79.2,0,0,1,1,0,1,"(20.315, 40.21]",29.500689317442507,High,0.2963056044232219,-0.4236715005365911,Young Adult,True,False,False
0,3,0,29.69869565217391,0,2,15.2458,0,2,2,0,0,0,"(20.315, 40.21]",29.63731236751472,Medium,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
1,3,0,22.0,0,0,7.75,2,2,2,0,1,1,"(20.315, 40.21]",29.452740432851666,Low,0.2711736617240513,-0.5696367744572526,Young Adult,False,False,True
1,3,0,24.0,1,0,15.85,2,2,2,0,1,0,"(20.315, 40.21]",29.500689317442507,Medium,0.2963056044232219,-0.4236715005365911,Young Adult,False,False,True
0,3,1,19.0,0,0,6.75,1,2,1,1,0,1,"(0.34, 20.315]",29.380817105965402,Low,0.23347574767529528,-0.7885846853382449,Young Adult,False,False,True
0,2,1,18.0,0,0,11.5,2,1,1,1,0,1,"(0.34, 20.315]",29.35684266366998,Medium,0.22090977632570996,-0.8615673222985757,Minor,False,True,False
0,2,1,19.0,1,1,36.75,2,1,1,1,0,0,"(0.34, 20.315]",29.380817105965402,High,0.23347574767529528,-0.7885846853382449,Young Adult,False,True,False
1,3,1,27.0,0,0,7.7958,2,2,1,1,1,1,"(20.315, 40.21]",29.57261264432877,Low,0.33400351847197784,-0.2047235896555988,Young Adult,False,False,True
0,3,0,9.0,2,2,34.375,2,2,0,0,0,0,"(0.34, 20.315]",29.14107268301119,High,0.10781603417944208,-1.5184110549415526,Minor,False,False,True
0,2,1,36.5,0,2,26.0,2,1,1,1,0,0,"(20.315, 40.21]",29.800369846135272,Medium,0.4533802462930384,0.4886114614675435,Adult,False,True,False
0,2,1,42.0,0,0,13.0,2,1,1,1,0,1,"(40.21, 60.105]",29.93222927876009,Medium,0.5224930887157577,0.8900159647493626,Adult,False,True,False
0,2,1,51.0,0,0,12.525,2,1,1,1,0,1,"(40.21, 60.105]",30.14799925941888,Medium,0.6355868308620256,1.5468596973923396,Adult,False,True,False
1,1,0,22.0,1,0,66.6,2,0,2,0,1,0,"(20.315, 40.21]",29.452740432851666,High,0.2711736617240513,-0.5696367744572526,Young Adult,True,False,False
0,3,1,55.5,0,0,8.05,2,2,1,1,0,1,"(40.21, 60.105]",30.255884249748277,Low,0.6921337019351596,1.875281563713828,Adult,False,False,True
0,3,1,40.5,0,2,14.5,2,2,1,1,0,0,"(40.21, 60.105]",29.896267615316958,Medium,0.5036441316913798,0.7805420093088665,Adult,False,False,True
0,3,1,29.69869565217391,0,0,7.3125,2,2,1,1,0,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,1,1,51.0,0,1,61.3792,0,0,1,1,0,0,"(40.21, 60.105]",30.14799925941888,High,0.6355868308620256,1.5468596973923396,Adult,True,False,False
1,3,0,16.0,0,0,7.7333,1,2,2,0,1,1,"(0.34, 20.315]",29.30889377907914,Low,0.19577783362653933,-1.0075325962192372,Minor,False,False,True
0,3,1,30.0,0,0,8.05,2,2,1,1,0,1,"(20.315, 40.21]",29.644535971215035,Low,0.37170143252073384,0.014224321225393487,Young Adult,False,False,True
0,3,1,29.69869565217391,0,0,8.6625,2,2,1,1,0,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,3,1,29.69869565217391,8,2,69.55,2,2,1,1,0,0,"(20.315, 40.21]",29.63731236751472,High,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,3,1,44.0,0,1,16.1,2,2,1,1,0,0,"(40.21, 60.105]",29.98017816335093,Medium,0.5476250314149284,1.0359812386700242,Adult,False,False,True
1,2,0,40.0,0,0,15.75,2,1,2,0,1,1,"(20.315, 40.21]",29.88428039416925,Medium,0.4973611460165871,0.7440506908287011,Adult,False,True,False
0,3,1,26.0,0,0,7.775,2,2,1,1,0,1,"(20.315, 40.21]",29.54863820203335,Low,0.32143754712239253,-0.2777062266159296,Young Adult,False,False,True
0,3,1,17.0,0,0,8.6625,2,2,1,1,0,1,"(0.34, 20.315]",29.332868221374557,Low,0.20834380497612465,-0.9345499592589065,Minor,False,False,True
0,3,1,1.0,4,1,39.6875,2,2,0,0,0,0,"(0.34, 20.315]",28.94927714464782,High,0.007288263382759489,-2.1022721506241986,Minor,False,False,True
1,3,1,9.0,0,2,20.525,2,2,0,0,1,0,"(0.34, 20.315]",29.14107268301119,Medium,0.10781603417944208,-1.5184110549415526,Minor,False,False,True
1,1,0,29.69869565217391,0,1,55.0,2,0,2,0,1,0,"(20.315, 40.21]",29.63731236751472,High,0.3679152507184457,-0.0077656646065672455,Young Adult,True,False,False
0,3,0,45.0,1,4,27.9,2,2,2,0,0,0,"(40.21, 60.105]",30.004152605646354,High,0.5601910027645137,1.108963875630355,Adult,False,False,True
0,1,1,29.69869565217391,0,0,25.925,2,0,1,1,0,1,"(20.315, 40.21]",29.63731236751472,Medium,0.3679152507184457,-0.0077656646065672455,Young Adult,True,False,False
0,3,1,28.0,0,0,56.4958,2,2,1,1,0,1,"(20.315, 40.21]",29.596587086624194,High,0.3465694898215632,-0.13174095269526803,Young Adult,False,False,True
0,1,1,61.0,0,0,33.5,2,0,1,1,0,1,"(60.105, 80.0]",30.387743682373095,High,0.7612465443578789,2.276686066995647,Senior,True,False,False
0,3,1,4.0,4,1,29.125,1,2,0,0,0,0,"(0.34, 20.315]",29.021200471534083,High,0.04498617743151546,-1.8833242397432064,Minor,False,False,True
